iter	Logloss
0	0.6580281536
1	0.6296135331
2	0.606447235
3	0.5882381791
4	0.5724317349
5	0.5593439196
6	0.5493498723
7	0.5413685713
8	0.5343918705
9	0.5285364488
10	0.5234831666
11	0.5190746715
12	0.5153387032
13	0.5127366291
14	0.5101780519
15	0.5078803482
16	0.5057323915
17	0.5042639897
18	0.5024633072
19	0.5010247124
20	0.4997950655
21	0.4987959326
22	0.497764491
23	0.4968202056
24	0.4959541886
25	0.4950143608
26	0.4940533202
27	0.4932962562
28	0.4927437688
29	0.4920087384
30	0.4912679254
31	0.4907185788
32	0.4900587449
33	0.4894103795
34	0.4888789833
35	0.4882469031
36	0.4877564845
37	0.4871818898
38	0.4864939707
39	0.4859321253
40	0.4855241167
41	0.4850588953
42	0.4845321952
43	0.4839824994
44	0.4835689788
45	0.4832967911
46	0.4828257902
47	0.4824260193
48	0.4819033077
49	0.481473796
50	0.4811276357
51	0.480824206
52	0.4804975702
53	0.4799840373
54	0.4794281839
55	0.4790474007
56	0.4787737955
57	0.4783985954
58	0.4781732533
59	0.4776628764
60	0.4771921961
61	0.476889614
62	0.4766191244
63	0.4760772162
64	0.4757516681
65	0.4755492594
66	0.4751818437
67	0.4748941078
68	0.4743866224
69	0.4739921238
70	0.4735389418
71	0.4733793846
72	0.4730309759
73	0.4728234518
74	0.4724053088
75	0.4718366297
76	0.4714785022
77	0.4711321723
78	0.4707979735
79	0.4704781519
80	0.4701330089
81	0.469822436
82	0.4691774919
83	0.4688138195
84	0.4686404715
85	0.4683346501
86	0.4680652655
87	0.4676822003
88	0.4673997041
89	0.4670901868
90	0.4668706045
91	0.4665032273
92	0.4661841337
93	0.4658687243
94	0.4656055506
95	0.4652909442
96	0.4649772768
97	0.4646560946
98	0.4644288923
99	0.4637762981
