iter	Passed	Remaining
0	143	14196
1	152	7495
2	160	5185
3	167	4023
4	175	3331
5	181	2849
6	188	2505
7	196	2257
8	203	2059
9	212	1908
10	219	1777
11	227	1669
12	235	1579
13	245	1506
14	254	1440
15	263	1383
16	273	1335
17	282	1287
18	290	1240
19	299	1198
20	309	1163
21	319	1131
22	329	1103
23	339	1074
24	349	1049
25	359	1024
26	369	999
27	380	978
28	391	957
29	401	937
30	412	918
31	423	900
32	434	882
33	444	862
34	455	845
35	465	828
36	475	810
37	485	792
38	496	776
39	506	760
40	516	743
41	526	727
42	536	711
43	546	695
44	556	679
45	565	664
46	576	649
47	585	634
48	595	619
49	605	605
50	614	590
51	625	577
52	634	562
53	643	548
54	653	534
55	663	521
56	673	507
57	683	494
58	692	481
59	702	468
60	712	455
61	722	442
62	733	430
63	743	418
64	755	406
65	765	394
66	775	382
67	786	370
68	796	357
69	806	345
70	817	333
71	827	321
72	837	309
73	847	297
74	857	285
75	867	273
76	877	262
77	886	250
78	896	238
79	906	226
80	916	215
81	926	203
82	937	192
83	948	180
84	957	168
85	967	157
86	977	146
87	992	135
88	1006	124
89	1017	113
90	1028	101
91	1039	90
92	1050	79
93	1060	67
94	1071	56
95	1082	45
96	1093	33
97	1104	22
98	1115	11
99	1127	0
